,MSP,PINCP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,"Now married, spouse present",$-9k-$-1k,-3.4,0.0,1.3,-8.1,4.7,0,,,,,
1,"Now married, spouse present",$0k-$49k,209.2,220.0,213.9,204.5,4.7,0,,,,,
2,"Now married, spouse present",$50k-$99k,85.7,86.0,90.5,81.0,4.7,0,,,,,
3,"Now married, spouse present",$100k-$149k,48.0,46.0,52.7,43.3,4.7,0,,,,,
4,"Now married, spouse present",$150k-$199k,27.4,28.0,32.1,22.7,4.7,0,,,,,
5,"Now married, spouse present",$200k-$249k,6.9,7.0,11.6,2.2,4.7,0,,,,,
6,"Now married, spouse present",$250k-$299k,-4.2,8.0,0.5,-8.9,4.7,0,,,,,
7,"Now married, spouse present",$300k-$349k,3.9,4.0,8.6,-0.8,4.7,0,,,,,
8,"Now married, spouse present",$350k-$399k,11.2,4.0,15.9,6.5,4.7,0,,,,,
9,"Now married, spouse present",$400k-$449k,5.0,1.0,9.7,0.3,4.7,0,,,,,
10,"Now married, spouse present",$450k-$1499k,10.1,8.0,14.8,5.3,4.7,0,,,,,
11,"Now Married, spouse absent",$-9k-$-1k,5.2,0.0,9.9,0.5,4.7,0,,,,,
12,"Now Married, spouse absent",$0k-$49k,27.2,23.0,31.9,22.5,4.7,0,,,,,
13,"Now Married, spouse absent",$50k-$99k,-0.7,3.0,4.0,-5.4,4.7,0,,,,,
14,"Now Married, spouse absent",$100k-$149k,4.0,3.0,8.7,-0.7,4.7,0,,,,,
15,"Now Married, spouse absent",$150k-$199k,-9.6,1.0,-4.9,-14.4,4.7,0,,,,,
16,"Now Married, spouse absent",$200k-$249k,-4.8,0.0,-0.1,-9.6,4.7,0,,,,,
17,"Now Married, spouse absent",$250k-$299k,-1.5,0.0,3.2,-6.2,4.7,0,,,,,
18,"Now Married, spouse absent",$300k-$349k,-2.8,1.0,1.9,-7.6,4.7,0,,,,,
19,"Now Married, spouse absent",$350k-$399k,2.4,0.0,7.1,-2.3,4.7,0,,,,,
20,"Now Married, spouse absent",$400k-$449k,3.4,0.0,8.1,-1.3,4.7,0,,,,,
21,"Now Married, spouse absent",$450k-$1499k,-1.2,0.0,3.5,-6.0,4.7,0,,,,,
22,Widowed,$-9k-$-1k,-5.0,0.0,-0.3,-9.7,4.7,0,,,,,
23,Widowed,$0k-$49k,37.1,43.0,41.8,32.3,4.7,0,,,,,
24,Widowed,$50k-$99k,10.8,9.0,15.6,6.1,4.7,0,,,,,
25,Widowed,$100k-$149k,4.7,4.0,9.5,0.0,4.7,0,,,,,
26,Widowed,$150k-$199k,-5.3,2.0,-0.6,-10.0,4.7,0,,,,,
27,Widowed,$200k-$249k,0.9,1.0,5.6,-3.9,4.7,0,,,,,
28,Widowed,$250k-$299k,-0.7,0.0,4.0,-5.4,4.7,0,,,,,
29,Widowed,$300k-$349k,4.0,0.0,8.7,-0.7,4.7,0,,,,,
30,Widowed,$350k-$399k,1.9,0.0,6.6,-2.8,4.7,0,,,,,
31,Widowed,$400k-$449k,0.8,0.0,5.5,-4.0,4.7,0,,,,,
32,Widowed,$450k-$1499k,1.4,1.0,6.1,-3.3,4.7,0,,,,,
33,Divorced,$-9k-$-1k,12.1,0.0,16.8,7.4,4.7,0,,,,,
34,Divorced,$0k-$49k,68.7,70.0,73.4,64.0,4.7,0,,,,,
35,Divorced,$50k-$99k,15.6,18.0,20.3,10.8,4.7,0,,,,,
36,Divorced,$100k-$149k,8.0,5.0,12.7,3.3,4.7,0,,,,,
37,Divorced,$150k-$199k,-3.9,3.0,0.8,-8.6,4.7,0,,,,,
