,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",-8.9,4.0,-4.2,-13.6,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",2.0,2.0,6.7,-2.7,4.7,0,,,,,
2,15-24,Widowed,-0.0,0.0,4.7,-4.7,4.7,0,,,,,
3,15-24,Divorced,-4.4,0.0,0.3,-9.1,4.7,0,,,,,
4,15-24,Separated,-4.2,0.0,0.5,-8.9,4.7,0,,,,,
5,15-24,Never married,134.2,137.0,139.0,129.5,4.7,0,,,,,
6,25-34,"Now married, spouse present",44.7,47.0,49.4,40.0,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",0.1,6.0,4.8,-4.7,4.7,0,,,,,
8,25-34,Widowed,-1.2,0.0,3.5,-5.9,4.7,0,,,,,
9,25-34,Divorced,-1.7,2.0,3.1,-6.4,4.7,0,,,,,
10,25-34,Separated,5.7,1.0,10.4,1.0,4.7,0,,,,,
11,25-34,Never married,109.7,102.0,114.5,105.0,4.7,0,,,,,
12,35-44,"Now married, spouse present",85.7,84.0,90.4,81.0,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",8.5,8.0,13.2,3.8,4.7,0,,,,,
14,35-44,Widowed,5.3,0.0,10.0,0.6,4.7,0,,,,,
15,35-44,Divorced,11.4,10.0,16.1,6.6,4.7,0,,,,,
16,35-44,Separated,7.3,7.0,12.0,2.6,4.7,0,,,,,
17,35-44,Never married,44.7,43.0,49.4,40.0,4.7,0,,,,,
18,45-54,"Now married, spouse present",83.6,82.0,88.4,78.9,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",7.5,4.0,12.2,2.8,4.7,0,,,,,
20,45-54,Widowed,2.8,3.0,7.5,-2.0,4.7,0,,,,,
21,45-54,Divorced,25.1,18.0,29.8,20.4,4.7,0,,,,,
22,45-54,Separated,10.1,7.0,14.8,5.4,4.7,0,,,,,
23,45-54,Never married,44.3,33.0,49.1,39.6,4.7,0,,,,,
24,55-64,"Now married, spouse present",92.1,92.0,96.9,87.4,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",14.4,7.0,19.1,9.7,4.7,0,,,,,
26,55-64,Widowed,9.2,8.0,13.9,4.5,4.7,0,,,,,
27,55-64,Divorced,29.3,25.0,34.0,24.5,4.7,0,,,,,
28,55-64,Separated,16.5,7.0,21.2,11.8,4.7,0,,,,,
29,55-64,Never married,21.7,25.0,26.4,17.0,4.7,0,,,,,
30,65-74,"Now married, spouse present",95.6,91.0,100.3,90.9,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",9.6,4.0,14.3,4.9,4.7,0,,,,,
32,65-74,Widowed,26.4,24.0,31.1,21.7,4.7,0,,,,,
33,65-74,Divorced,22.8,24.0,27.5,18.1,4.7,0,,,,,
34,65-74,Separated,0.7,1.0,5.5,-4.0,4.7,0,,,,,
35,65-74,Never married,17.8,17.0,22.5,13.1,4.7,0,,,,,
36,75-84,"Now married, spouse present",19.8,20.0,24.6,15.1,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",1.5,2.0,6.3,-3.2,4.7,0,,,,,
38,75-84,Widowed,19.5,15.0,24.2,14.8,4.7,0,,,,,
39,75-84,Divorced,9.7,13.0,14.4,5.0,4.7,0,,,,,
40,75-84,Separated,1.6,0.0,6.3,-3.1,4.7,0,,,,,
41,75-84,Never married,4.7,3.0,9.5,0.0,4.7,0,,,,,
42,85-99,"Now married, spouse present",-4.5,4.0,0.2,-9.2,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",1.2,0.0,5.9,-3.6,4.7,0,,,,,
44,85-99,Widowed,15.1,14.0,19.8,10.4,4.7,0,,,,,
45,85-99,Divorced,2.7,3.0,7.4,-2.0,4.7,0,,,,,
46,85-99,Separated,-6.5,1.0,-1.8,-11.2,4.7,0,,,,,
47,85-99,Never married,-8.5,0.0,-3.8,-13.3,4.7,0,,,,,
48,15-24,"Now married, spouse present",-3.5,4.0,-1.1,-5.9,2.4,1,-8.9,4.0,-13.6,-4.2,4.7
49,15-24,"Now Married, spouse absent",4.9,2.0,7.2,2.5,2.4,1,2.0,2.0,-2.7,6.7,4.7
50,15-24,Widowed,-5.2,0.0,-2.8,-7.5,2.4,1,-0.0,0.0,-4.7,4.7,4.7
51,15-24,Divorced,-2.7,0.0,-0.3,-5.0,2.4,1,-4.4,0.0,-9.1,0.3,4.7
52,15-24,Separated,-3.6,0.0,-1.3,-6.0,2.4,1,-4.2,0.0,-8.9,0.5,4.7
53,15-24,Never married,135.0,137.0,137.3,132.6,2.4,1,134.2,137.0,129.5,139.0,4.7
54,25-34,"Now married, spouse present",45.8,47.0,48.2,43.5,2.4,1,44.7,47.0,40.0,49.4,4.7
55,25-34,"Now Married, spouse absent",2.7,6.0,5.1,0.4,2.4,1,0.1,6.0,-4.7,4.8,4.7
56,25-34,Widowed,-2.0,0.0,0.3,-4.4,2.4,1,-1.2,0.0,-5.9,3.5,4.7
57,25-34,Divorced,-1.2,2.0,1.1,-3.6,2.4,1,-1.7,2.0,-6.4,3.1,4.7
58,25-34,Separated,2.1,1.0,4.4,-0.3,2.4,1,5.7,1.0,1.0,10.4,4.7
59,25-34,Never married,106.9,102.0,109.2,104.5,2.4,1,109.7,102.0,105.0,114.5,4.7
60,35-44,"Now married, spouse present",85.2,84.0,87.5,82.8,2.4,1,85.7,84.0,81.0,90.4,4.7
61,35-44,"Now Married, spouse absent",8.2,8.0,10.6,5.9,2.4,1,8.5,8.0,3.8,13.2,4.7
62,35-44,Widowed,2.4,0.0,4.8,0.0,2.4,1,5.3,0.0,0.6,10.0,4.7
63,35-44,Divorced,11.7,10.0,14.1,9.4,2.4,1,11.4,10.0,6.6,16.1,4.7
64,35-44,Separated,7.4,7.0,9.7,5.0,2.4,1,7.3,7.0,2.6,12.0,4.7
65,35-44,Never married,43.0,43.0,45.4,40.7,2.4,1,44.7,43.0,40.0,49.4,4.7
66,45-54,"Now married, spouse present",81.5,82.0,83.8,79.1,2.4,1,83.6,82.0,78.9,88.4,4.7
67,45-54,"Now Married, spouse absent",3.6,4.0,6.0,1.3,2.4,1,7.5,4.0,2.8,12.2,4.7
68,45-54,Widowed,3.3,3.0,5.7,1.0,2.4,1,2.8,3.0,-2.0,7.5,4.7
69,45-54,Divorced,21.5,18.0,23.9,19.2,2.4,1,25.1,18.0,20.4,29.8,4.7
70,45-54,Separated,6.9,7.0,9.2,4.5,2.4,1,10.1,7.0,5.4,14.8,4.7
71,45-54,Never married,36.1,33.0,38.5,33.8,2.4,1,44.3,33.0,39.6,49.1,4.7
72,55-64,"Now married, spouse present",91.2,92.0,93.5,88.8,2.4,1,92.1,92.0,87.4,96.9,4.7
73,55-64,"Now Married, spouse absent",8.1,7.0,10.4,5.7,2.4,1,14.4,7.0,9.7,19.1,4.7
74,55-64,Widowed,8.6,8.0,10.9,6.2,2.4,1,9.2,8.0,4.5,13.9,4.7
75,55-64,Divorced,27.6,25.0,30.0,25.3,2.4,1,29.3,25.0,24.5,34.0,4.7
76,55-64,Separated,7.4,7.0,9.8,5.1,2.4,1,16.5,7.0,11.8,21.2,4.7
77,55-64,Never married,23.3,25.0,25.7,21.0,2.4,1,21.7,25.0,17.0,26.4,4.7
78,65-74,"Now married, spouse present",94.7,91.0,97.1,92.4,2.4,1,95.6,91.0,90.9,100.3,4.7
79,65-74,"Now Married, spouse absent",8.0,4.0,10.4,5.6,2.4,1,9.6,4.0,4.9,14.3,4.7
80,65-74,Widowed,24.1,24.0,26.5,21.8,2.4,1,26.4,24.0,21.7,31.1,4.7
81,65-74,Divorced,20.7,24.0,23.1,18.4,2.4,1,22.8,24.0,18.1,27.5,4.7
82,65-74,Separated,3.9,1.0,6.2,1.5,2.4,1,0.7,1.0,-4.0,5.5,4.7
83,65-74,Never married,17.5,17.0,19.8,15.1,2.4,1,17.8,17.0,13.1,22.5,4.7
84,75-84,"Now married, spouse present",17.4,20.0,19.8,15.1,2.4,1,19.8,20.0,15.1,24.6,4.7
85,75-84,"Now Married, spouse absent",3.7,2.0,6.0,1.3,2.4,1,1.5,2.0,-3.2,6.3,4.7
86,75-84,Widowed,17.4,15.0,19.8,15.1,2.4,1,19.5,15.0,14.8,24.2,4.7
87,75-84,Divorced,10.3,13.0,12.6,7.9,2.4,1,9.7,13.0,5.0,14.4,4.7
88,75-84,Separated,1.1,0.0,3.4,-1.3,2.4,1,1.6,0.0,-3.1,6.3,4.7
89,75-84,Never married,3.1,3.0,5.5,0.7,2.4,1,4.7,3.0,0.0,9.5,4.7
90,85-99,"Now married, spouse present",-0.3,4.0,2.1,-2.6,2.4,1,-4.5,4.0,-9.2,0.2,4.7
91,85-99,"Now Married, spouse absent",5.0,0.0,7.4,2.7,2.4,1,1.2,0.0,-3.6,5.9,4.7
92,85-99,Widowed,14.6,14.0,17.0,12.3,2.4,1,15.1,14.0,10.4,19.8,4.7
93,85-99,Divorced,5.6,3.0,8.0,3.2,2.4,1,2.7,3.0,-2.0,7.4,4.7
94,85-99,Separated,-3.9,1.0,-1.5,-6.3,2.4,1,-6.5,1.0,-11.2,-1.8,4.7
95,85-99,Never married,-4.2,0.0,-1.8,-6.6,2.4,1,-8.5,0.0,-13.3,-3.8,4.7
96,15-24,"Now married, spouse present",-0.5,4.0,1.1,-2.1,1.6,2,-3.5,4.0,-5.9,-1.1,2.4
97,15-24,"Now Married, spouse absent",5.9,2.0,7.5,4.4,1.6,2,4.9,2.0,2.5,7.2,2.4
98,15-24,Widowed,-3.3,0.0,-1.7,-4.9,1.6,2,-5.2,0.0,-7.5,-2.8,2.4
99,15-24,Divorced,1.3,0.0,2.8,-0.3,1.6,2,-2.7,0.0,-5.0,-0.3,2.4
100,15-24,Separated,-3.0,0.0,-1.4,-4.5,1.6,2,-3.6,0.0,-6.0,-1.3,2.4
101,15-24,Never married,135.2,137.0,136.8,133.7,1.6,2,135.0,137.0,132.6,137.3,2.4
102,25-34,"Now married, spouse present",46.8,47.0,48.4,45.2,1.6,2,45.8,47.0,43.5,48.2,2.4
103,25-34,"Now Married, spouse absent",4.5,6.0,6.0,2.9,1.6,2,2.7,6.0,0.4,5.1,2.4
104,25-34,Widowed,0.4,0.0,1.9,-1.2,1.6,2,-2.0,0.0,-4.4,0.3,2.4
105,25-34,Divorced,0.5,2.0,2.1,-1.1,1.6,2,-1.2,2.0,-3.6,1.1,2.4
106,25-34,Separated,2.2,1.0,3.8,0.7,1.6,2,2.1,1.0,-0.3,4.4,2.4
107,25-34,Never married,106.5,102.0,108.1,105.0,1.6,2,106.9,102.0,104.5,109.2,2.4
108,35-44,"Now married, spouse present",84.2,84.0,85.8,82.6,1.6,2,85.2,84.0,82.8,87.5,2.4
109,35-44,"Now Married, spouse absent",9.4,8.0,10.9,7.8,1.6,2,8.2,8.0,5.9,10.6,2.4
110,35-44,Widowed,0.8,0.0,2.4,-0.8,1.6,2,2.4,0.0,0.0,4.8,2.4
111,35-44,Divorced,11.7,10.0,13.3,10.2,1.6,2,11.7,10.0,9.4,14.1,2.4
112,35-44,Separated,7.3,7.0,8.9,5.8,1.6,2,7.4,7.0,5.0,9.7,2.4
113,35-44,Never married,42.7,43.0,44.3,41.1,1.6,2,43.0,43.0,40.7,45.4,2.4
114,45-54,"Now married, spouse present",83.3,82.0,84.9,81.7,1.6,2,81.5,82.0,79.1,83.8,2.4
115,45-54,"Now Married, spouse absent",1.7,4.0,3.3,0.1,1.6,2,3.6,4.0,1.3,6.0,2.4
116,45-54,Widowed,4.2,3.0,5.8,2.7,1.6,2,3.3,3.0,1.0,5.7,2.4
117,45-54,Divorced,20.9,18.0,22.4,19.3,1.6,2,21.5,18.0,19.2,23.9,2.4
118,45-54,Separated,6.8,7.0,8.4,5.3,1.6,2,6.9,7.0,4.5,9.2,2.4
119,45-54,Never married,35.5,33.0,37.1,34.0,1.6,2,36.1,33.0,33.8,38.5,2.4
120,55-64,"Now married, spouse present",92.9,92.0,94.4,91.3,1.6,2,91.2,92.0,88.8,93.5,2.4
121,55-64,"Now Married, spouse absent",6.6,7.0,8.1,5.0,1.6,2,8.1,7.0,5.7,10.4,2.4
122,55-64,Widowed,8.6,8.0,10.1,7.0,1.6,2,8.6,8.0,6.2,10.9,2.4
123,55-64,Divorced,26.7,25.0,28.2,25.1,1.6,2,27.6,25.0,25.3,30.0,2.4
124,55-64,Separated,7.8,7.0,9.3,6.2,1.6,2,7.4,7.0,5.1,9.8,2.4
125,55-64,Never married,23.8,25.0,25.4,22.3,1.6,2,23.3,25.0,21.0,25.7,2.4
126,65-74,"Now married, spouse present",94.9,91.0,96.4,93.3,1.6,2,94.7,91.0,92.4,97.1,2.4
127,65-74,"Now Married, spouse absent",8.4,4.0,10.0,6.9,1.6,2,8.0,4.0,5.6,10.4,2.4
128,65-74,Widowed,20.8,24.0,22.4,19.2,1.6,2,24.1,24.0,21.8,26.5,2.4
129,65-74,Divorced,20.5,24.0,22.1,19.0,1.6,2,20.7,24.0,18.4,23.1,2.4
130,65-74,Separated,2.9,1.0,4.4,1.3,1.6,2,3.9,1.0,1.5,6.2,2.4
131,65-74,Never married,18.0,17.0,19.6,16.5,1.6,2,17.5,17.0,15.1,19.8,2.4
132,75-84,"Now married, spouse present",18.4,20.0,20.0,16.9,1.6,2,17.4,20.0,15.1,19.8,2.4
