,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,55.6,61.0,60.3,50.8,4.7,0,,,,,
1,African American,3-4,65.5,63.0,70.2,60.7,4.7,0,,,,,
2,African American,5-6,32.6,35.0,37.4,27.9,4.7,0,,,,,
3,African American,7-8,12.7,17.0,17.4,8.0,4.7,0,,,,,
4,African American,9-10,10.6,12.0,15.3,5.9,4.7,0,,,,,
5,African American,11-12,4.0,10.0,8.7,-0.7,4.7,0,,,,,
6,African American,13-14,5.4,4.0,10.1,0.7,4.7,0,,,,,
7,Asian,1-2,14.2,3.0,18.9,9.5,4.7,0,,,,,
8,Asian,3-4,5.1,4.0,9.8,0.3,4.7,0,,,,,
9,Asian,5-6,-2.8,0.0,1.9,-7.5,4.7,0,,,,,
10,Asian,7-8,0.3,0.0,5.1,-4.4,4.7,0,,,,,
11,Asian,9-10,0.3,0.0,5.0,-4.4,4.7,0,,,,,
12,Asian,11-12,-2.5,0.0,2.2,-7.2,4.7,0,,,,,
13,Asian,13-14,-4.9,0.0,-0.2,-9.7,4.7,0,,,,,
14,Caucasian,1-2,231.0,235.0,235.7,226.3,4.7,0,,,,,
15,Caucasian,3-4,235.2,235.0,239.9,230.5,4.7,0,,,,,
16,Caucasian,5-6,123.1,124.0,127.9,118.4,4.7,0,,,,,
17,Caucasian,7-8,72.6,71.0,77.3,67.9,4.7,0,,,,,
18,Caucasian,9-10,49.0,50.0,53.7,44.3,4.7,0,,,,,
19,Caucasian,11-12,36.4,29.0,41.1,31.7,4.7,0,,,,,
20,Caucasian,13-14,14.7,12.0,19.4,10.0,4.7,0,,,,,
21,Hispanic,1-2,6.9,6.0,11.6,2.2,4.7,0,,,,,
22,Hispanic,3-4,9.1,8.0,13.8,4.4,4.7,0,,,,,
23,Hispanic,5-6,1.9,4.0,6.6,-2.8,4.7,0,,,,,
24,Hispanic,7-8,2.3,0.0,7.0,-2.4,4.7,0,,,,,
25,Hispanic,9-10,-0.9,1.0,3.9,-5.6,4.7,0,,,,,
26,Hispanic,11-12,1.8,0.0,6.5,-2.9,4.7,0,,,,,
27,Hispanic,13-14,-6.8,0.0,-2.1,-11.5,4.7,0,,,,,
28,Other,1-2,4.4,4.0,9.1,-0.3,4.7,0,,,,,
29,Other,3-4,5.4,5.0,10.1,0.7,4.7,0,,,,,
30,Other,5-6,0.8,2.0,5.5,-3.9,4.7,0,,,,,
31,Other,7-8,0.5,4.0,5.2,-4.3,4.7,0,,,,,
32,Other,9-10,0.3,0.0,5.0,-4.4,4.7,0,,,,,
33,Other,11-12,-6.6,1.0,-1.8,-11.3,4.7,0,,,,,
34,Other,13-14,3.5,0.0,8.2,-1.2,4.7,0,,,,,
35,African American,1-2,58.1,61.0,60.5,55.7,2.4,1,55.6,61.0,50.8,60.3,4.7
36,African American,3-4,69.0,63.0,71.4,66.6,2.4,1,65.5,63.0,60.7,70.2,4.7
37,African American,5-6,31.7,35.0,34.0,29.3,2.4,1,32.6,35.0,27.9,37.4,4.7
38,African American,7-8,15.8,17.0,18.2,13.4,2.4,1,12.7,17.0,8.0,17.4,4.7
39,African American,9-10,14.4,12.0,16.7,12.0,2.4,1,10.6,12.0,5.9,15.3,4.7
