,admission_type_id,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,1-2,148.1,152.0,152.8,143.4,4.7,0,,,,,
1,Emergency,3-4,173.2,171.0,177.9,168.5,4.7,0,,,,,
2,Emergency,5-6,85.9,88.0,90.6,81.1,4.7,0,,,,,
3,Emergency,7-8,57.2,57.0,61.9,52.5,4.7,0,,,,,
4,Emergency,9-10,13.2,25.0,17.9,8.5,4.7,0,,,,,
5,Emergency,11-12,34.1,28.0,38.8,29.3,4.7,0,,,,,
6,Emergency,13-14,19.4,14.0,24.1,14.7,4.7,0,,,,,
7,Urgent,1-2,50.2,42.0,54.9,45.5,4.7,0,,,,,
8,Urgent,3-4,54.7,59.0,59.4,50.0,4.7,0,,,,,
9,Urgent,5-6,40.1,42.0,44.8,35.4,4.7,0,,,,,
10,Urgent,7-8,22.8,22.0,27.5,18.1,4.7,0,,,,,
11,Urgent,9-10,25.3,18.0,30.0,20.6,4.7,0,,,,,
12,Urgent,11-12,13.1,9.0,17.8,8.4,4.7,0,,,,,
13,Urgent,13-14,-14.0,4.0,-9.3,-18.7,4.7,0,,,,,
14,Elective,1-2,73.4,73.0,78.1,68.7,4.7,0,,,,,
15,Elective,3-4,58.9,59.0,63.6,54.2,4.7,0,,,,,
16,Elective,5-6,44.6,42.0,49.3,39.8,4.7,0,,,,,
17,Elective,7-8,11.2,15.0,15.9,6.5,4.7,0,,,,,
18,Elective,9-10,9.5,7.0,14.2,4.8,4.7,0,,,,,
19,Elective,11-12,-3.6,7.0,1.1,-8.3,4.7,0,,,,,
20,Elective,13-14,-0.4,4.0,4.4,-5.1,4.7,0,,,,,
21,Newborn,1-2,-1.6,0.0,3.1,-6.3,4.7,0,,,,,
22,Newborn,3-4,1.4,0.0,6.1,-3.3,4.7,0,,,,,
23,Newborn,5-6,-0.2,0.0,4.5,-4.9,4.7,0,,,,,
24,Newborn,7-8,3.3,0.0,8.0,-1.4,4.7,0,,,,,
25,Newborn,9-10,-1.8,0.0,2.9,-6.5,4.7,0,,,,,
26,Newborn,11-12,2.1,0.0,6.8,-2.6,4.7,0,,,,,
27,Newborn,13-14,1.7,0.0,6.4,-3.0,4.7,0,,,,,
28,Not Available,1-2,23.7,25.0,28.4,18.9,4.7,0,,,,,
29,Not Available,3-4,29.4,19.0,34.1,24.7,4.7,0,,,,,
30,Not Available,5-6,7.0,6.0,11.7,2.2,4.7,0,,,,,
31,Not Available,7-8,13.7,6.0,18.4,9.0,4.7,0,,,,,
32,Not Available,9-10,4.6,2.0,9.3,-0.2,4.7,0,,,,,
33,Not Available,11-12,5.5,2.0,10.2,0.8,4.7,0,,,,,
34,Not Available,13-14,-0.7,0.0,4.0,-5.4,4.7,0,,,,,
35,Trauma Center,1-2,-0.7,0.0,4.0,-5.5,4.7,0,,,,,
36,Trauma Center,3-4,15.4,0.0,20.2,10.7,4.7,0,,,,,
37,Trauma Center,5-6,-3.5,0.0,1.3,-8.2,4.7,0,,,,,
38,Trauma Center,7-8,8.6,0.0,13.4,3.9,4.7,0,,,,,
39,Trauma Center,9-10,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
40,Trauma Center,11-12,-0.5,0.0,4.2,-5.3,4.7,0,,,,,
41,Trauma Center,13-14,-0.3,0.0,4.5,-5.0,4.7,0,,,,,
42,Not Mapped,1-2,-0.2,0.0,4.5,-5.0,4.7,0,,,,,
43,Not Mapped,3-4,-6.8,2.0,-2.1,-11.6,4.7,0,,,,,
