,admission_type_id,age,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,0 - 9,-12.9,0.0,-8.2,-17.6,4.7,0,,,,,
1,Emergency,10 - 19,7.0,7.0,11.7,2.3,4.7,0,,,,,
2,Emergency,20 - 29,8.0,8.0,12.7,3.3,4.7,0,,,,,
3,Emergency,30 - 39,33.6,38.0,38.3,28.9,4.7,0,,,,,
4,Emergency,40 - 49,48.8,53.0,53.5,44.1,4.7,0,,,,,
5,Emergency,50 - 59,89.2,92.0,94.0,84.5,4.7,0,,,,,
6,Emergency,60 - 69,105.4,106.0,110.1,100.7,4.7,0,,,,,
7,Emergency,70 - 79,128.7,131.0,133.4,124.0,4.7,0,,,,,
8,Emergency,80 - 89,80.1,86.0,84.8,75.3,4.7,0,,,,,
9,Emergency,90 - 99,16.8,18.0,21.5,12.1,4.7,0,,,,,
10,Urgent,0 - 9,4.7,0.0,9.4,0.0,4.7,0,,,,,
11,Urgent,10 - 19,12.7,5.0,17.5,8.0,4.7,0,,,,,
12,Urgent,20 - 29,-5.5,3.0,-0.8,-10.2,4.7,0,,,,,
13,Urgent,30 - 39,7.7,6.0,12.4,3.0,4.7,0,,,,,
14,Urgent,40 - 49,17.5,17.0,22.2,12.8,4.7,0,,,,,
15,Urgent,50 - 59,49.3,44.0,54.0,44.6,4.7,0,,,,,
16,Urgent,60 - 69,38.4,37.0,43.1,33.6,4.7,0,,,,,
17,Urgent,70 - 79,44.3,44.0,49.0,39.6,4.7,0,,,,,
18,Urgent,80 - 89,48.7,47.0,53.4,44.0,4.7,0,,,,,
19,Urgent,90 - 99,3.1,4.0,7.9,-1.6,4.7,0,,,,,
20,Elective,0 - 9,3.5,0.0,8.2,-1.2,4.7,0,,,,,
21,Elective,10 - 19,0.8,1.0,5.5,-4.0,4.7,0,,,,,
22,Elective,20 - 29,9.1,2.0,13.8,4.4,4.7,0,,,,,
23,Elective,30 - 39,17.1,14.0,21.8,12.4,4.7,0,,,,,
24,Elective,40 - 49,32.3,21.0,37.1,27.6,4.7,0,,,,,
25,Elective,50 - 59,31.4,35.0,36.1,26.7,4.7,0,,,,,
26,Elective,60 - 69,47.1,47.0,51.9,42.4,4.7,0,,,,,
27,Elective,70 - 79,56.4,49.0,61.1,51.7,4.7,0,,,,,
28,Elective,80 - 89,28.2,27.0,32.9,23.5,4.7,0,,,,,
29,Elective,90 - 99,4.3,0.0,9.0,-0.5,4.7,0,,,,,
30,Newborn,0 - 9,-3.3,0.0,1.4,-8.0,4.7,0,,,,,
31,Newborn,10 - 19,-2.4,0.0,2.3,-7.1,4.7,0,,,,,
32,Newborn,20 - 29,4.6,0.0,9.3,-0.1,4.7,0,,,,,
33,Newborn,30 - 39,5.6,0.0,10.3,0.9,4.7,0,,,,,
34,Newborn,40 - 49,2.4,0.0,7.1,-2.3,4.7,0,,,,,
35,Newborn,50 - 59,-1.2,0.0,3.5,-5.9,4.7,0,,,,,
36,Newborn,60 - 69,-0.3,0.0,4.5,-5.0,4.7,0,,,,,
37,Newborn,70 - 79,0.8,0.0,5.5,-3.9,4.7,0,,,,,
38,Newborn,80 - 89,-0.0,0.0,4.7,-4.7,4.7,0,,,,,
39,Newborn,90 - 99,-0.2,0.0,4.6,-4.9,4.7,0,,,,,
40,Not Available,0 - 9,4.5,0.0,9.2,-0.2,4.7,0,,,,,
41,Not Available,10 - 19,-3.3,0.0,1.4,-8.0,4.7,0,,,,,
42,Not Available,20 - 29,2.6,1.0,7.3,-2.1,4.7,0,,,,,
43,Not Available,30 - 39,4.7,3.0,9.5,0.0,4.7,0,,,,,
44,Not Available,40 - 49,11.3,5.0,16.0,6.6,4.7,0,,,,,
45,Not Available,50 - 59,-1.5,7.0,3.2,-6.2,4.7,0,,,,,
46,Not Available,60 - 69,9.2,8.0,13.9,4.4,4.7,0,,,,,
47,Not Available,70 - 79,18.1,17.0,22.8,13.4,4.7,0,,,,,
48,Not Available,80 - 89,10.7,11.0,15.4,6.0,4.7,0,,,,,
49,Not Available,90 - 99,-7.5,0.0,-2.8,-12.2,4.7,0,,,,,
50,Trauma Center,0 - 9,-3.6,0.0,1.1,-8.3,4.7,0,,,,,
51,Trauma Center,10 - 19,3.0,0.0,7.7,-1.7,4.7,0,,,,,
52,Trauma Center,20 - 29,-3.7,0.0,1.0,-8.5,4.7,0,,,,,
53,Trauma Center,30 - 39,-4.3,0.0,0.4,-9.0,4.7,0,,,,,
54,Trauma Center,40 - 49,-1.2,0.0,3.6,-5.9,4.7,0,,,,,
55,Trauma Center,50 - 59,-0.1,0.0,4.6,-4.8,4.7,0,,,,,
56,Trauma Center,60 - 69,1.7,0.0,6.4,-3.0,4.7,0,,,,,
57,Trauma Center,70 - 79,3.1,0.0,7.8,-1.6,4.7,0,,,,,
58,Trauma Center,80 - 89,-2.1,0.0,2.6,-6.8,4.7,0,,,,,
59,Trauma Center,90 - 99,5.7,0.0,10.4,1.0,4.7,0,,,,,
60,Not Mapped,0 - 9,-1.0,0.0,3.8,-5.7,4.7,0,,,,,
61,Not Mapped,10 - 19,-3.1,0.0,1.7,-7.8,4.7,0,,,,,
62,Not Mapped,20 - 29,-1.3,0.0,3.5,-6.0,4.7,0,,,,,
63,Not Mapped,30 - 39,0.6,1.0,5.3,-4.1,4.7,0,,,,,
64,Not Mapped,40 - 49,1.0,1.0,5.7,-3.7,4.7,0,,,,,
65,Not Mapped,50 - 59,1.4,2.0,6.1,-3.3,4.7,0,,,,,
66,Not Mapped,60 - 69,-1.8,1.0,2.9,-6.5,4.7,0,,,,,
67,Not Mapped,70 - 79,-1.8,1.0,2.9,-6.5,4.7,0,,,,,
68,Not Mapped,80 - 89,-2.6,0.0,2.2,-7.3,4.7,0,,,,,
69,Not Mapped,90 - 99,2.0,0.0,6.8,-2.7,4.7,0,,,,,
70,Emergency,0 - 9,-8.1,0.0,-5.8,-10.5,2.4,1,-12.9,0.0,-17.6,-8.2,4.7
71,Emergency,10 - 19,4.5,7.0,6.8,2.1,2.4,1,7.0,7.0,2.3,11.7,4.7
72,Emergency,20 - 29,8.1,8.0,10.5,5.8,2.4,1,8.0,8.0,3.3,12.7,4.7
73,Emergency,30 - 39,34.9,38.0,37.2,32.5,2.4,1,33.6,38.0,28.9,38.3,4.7
74,Emergency,40 - 49,48.3,53.0,50.6,45.9,2.4,1,48.8,53.0,44.1,53.5,4.7
75,Emergency,50 - 59,90.6,92.0,92.9,88.2,2.4,1,89.2,92.0,84.5,94.0,4.7
76,Emergency,60 - 69,106.2,106.0,108.6,103.9,2.4,1,105.4,106.0,100.7,110.1,4.7
77,Emergency,70 - 79,125.5,131.0,127.9,123.2,2.4,1,128.7,131.0,124.0,133.4,4.7
78,Emergency,80 - 89,83.0,86.0,85.4,80.7,2.4,1,80.1,86.0,75.3,84.8,4.7
79,Emergency,90 - 99,14.4,18.0,16.8,12.0,2.4,1,16.8,18.0,12.1,21.5,4.7
80,Urgent,0 - 9,3.6,0.0,5.9,1.2,2.4,1,4.7,0.0,0.0,9.4,4.7
81,Urgent,10 - 19,7.8,5.0,10.2,5.4,2.4,1,12.7,5.0,8.0,17.5,4.7
82,Urgent,20 - 29,-3.9,3.0,-1.6,-6.3,2.4,1,-5.5,3.0,-10.2,-0.8,4.7
83,Urgent,30 - 39,9.8,6.0,12.2,7.5,2.4,1,7.7,6.0,3.0,12.4,4.7
84,Urgent,40 - 49,17.3,17.0,19.7,15.0,2.4,1,17.5,17.0,12.8,22.2,4.7
85,Urgent,50 - 59,44.4,44.0,46.8,42.1,2.4,1,49.3,44.0,44.6,54.0,4.7
86,Urgent,60 - 69,35.2,37.0,37.5,32.8,2.4,1,38.4,37.0,33.6,43.1,4.7
87,Urgent,70 - 79,46.1,44.0,48.4,43.7,2.4,1,44.3,44.0,39.6,49.0,4.7
88,Urgent,80 - 89,48.0,47.0,50.4,45.7,2.4,1,48.7,47.0,44.0,53.4,4.7
89,Urgent,90 - 99,2.5,4.0,4.8,0.1,2.4,1,3.1,4.0,-1.6,7.9,4.7
90,Elective,0 - 9,1.0,0.0,3.3,-1.4,2.4,1,3.5,0.0,-1.2,8.2,4.7
