,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,206.2,205.0,210.9,201.5,4.7,0,,,,,
1,0,2,16.0,16.0,20.8,11.3,4.7,0,,,,,
2,0,3,38.7,34.0,43.4,34.0,4.7,0,,,,,
3,0,4,18.6,22.0,23.3,13.9,4.7,0,,,,,
4,0,5,27.1,23.0,31.8,22.3,4.7,0,,,,,
5,1,1,17.3,16.0,22.1,12.6,4.7,0,,,,,
6,1,2,41.4,29.0,46.1,36.7,4.7,0,,,,,
7,1,3,59.8,62.0,64.5,55.1,4.7,0,,,,,
8,1,4,33.4,43.0,38.1,28.7,4.7,0,,,,,
9,1,5,25.1,24.0,29.8,20.3,4.7,0,,,,,
10,2,1,10.1,8.0,14.8,5.4,4.7,0,,,,,
11,2,2,6.4,17.0,11.1,1.7,4.7,0,,,,,
12,2,3,56.0,61.0,60.7,51.3,4.7,0,,,,,
13,2,4,36.3,38.0,41.0,31.6,4.7,0,,,,,
14,2,5,21.6,20.0,26.3,16.8,4.7,0,,,,,
15,3,1,11.9,15.0,16.6,7.2,4.7,0,,,,,
16,3,2,17.3,16.0,22.0,12.5,4.7,0,,,,,
17,3,3,102.7,101.0,107.4,98.0,4.7,0,,,,,
18,3,4,69.8,71.0,74.5,65.1,4.7,0,,,,,
19,3,5,33.9,31.0,38.6,29.2,4.7,0,,,,,
20,4,1,8.9,12.0,13.6,4.2,4.7,0,,,,,
21,4,2,22.6,15.0,27.4,17.9,4.7,0,,,,,
22,4,3,43.8,44.0,48.6,39.1,4.7,0,,,,,
23,4,4,49.4,48.0,54.1,44.6,4.7,0,,,,,
24,4,5,26.1,29.0,30.8,21.4,4.7,0,,,,,
25,0,1,206.5,205.0,208.9,204.2,2.4,1,206.2,205.0,201.5,210.9,4.7
26,0,2,16.6,16.0,18.9,14.2,2.4,1,16.0,16.0,11.3,20.8,4.7
27,0,3,36.5,34.0,38.8,34.1,2.4,1,38.7,34.0,34.0,43.4,4.7
28,0,4,20.6,22.0,22.9,18.2,2.4,1,18.6,22.0,13.9,23.3,4.7
29,0,5,18.9,23.0,21.2,16.5,2.4,1,27.1,23.0,22.3,31.8,4.7
30,1,1,16.8,16.0,19.1,14.4,2.4,1,17.3,16.0,12.6,22.1,4.7
31,1,2,32.1,29.0,34.5,29.8,2.4,1,41.4,29.0,36.7,46.1,4.7
32,1,3,54.9,62.0,57.2,52.5,2.4,1,59.8,62.0,55.1,64.5,4.7
33,1,4,37.2,43.0,39.6,34.9,2.4,1,33.4,43.0,28.7,38.1,4.7
34,1,5,33.3,24.0,35.6,30.9,2.4,1,25.1,24.0,20.3,29.8,4.7
35,2,1,6.5,8.0,8.8,4.1,2.4,1,10.1,8.0,5.4,14.8,4.7
36,2,2,6.0,17.0,8.4,3.6,2.4,1,6.4,17.0,1.7,11.1,4.7
37,2,3,57.9,61.0,60.2,55.5,2.4,1,56.0,61.0,51.3,60.7,4.7
38,2,4,38.7,38.0,41.1,36.4,2.4,1,36.3,38.0,31.6,41.0,4.7
39,2,5,19.4,20.0,21.7,17.0,2.4,1,21.6,20.0,16.8,26.3,4.7
40,3,1,19.7,15.0,22.1,17.4,2.4,1,11.9,15.0,7.2,16.6,4.7
41,3,2,10.3,16.0,12.6,7.9,2.4,1,17.3,16.0,12.5,22.0,4.7
42,3,3,103.3,101.0,105.6,100.9,2.4,1,102.7,101.0,98.0,107.4,4.7
43,3,4,71.2,71.0,73.5,68.8,2.4,1,69.8,71.0,65.1,74.5,4.7
44,3,5,32.5,31.0,34.9,30.1,2.4,1,33.9,31.0,29.2,38.6,4.7
45,4,1,11.1,12.0,13.5,8.8,2.4,1,8.9,12.0,4.2,13.6,4.7
46,4,2,20.2,15.0,22.5,17.8,2.4,1,22.6,15.0,17.9,27.4,4.7
47,4,3,43.8,44.0,46.2,41.5,2.4,1,43.8,44.0,39.1,48.6,4.7
48,4,4,54.9,48.0,57.2,52.5,2.4,1,49.4,48.0,44.6,54.1,4.7
49,4,5,27.6,29.0,29.9,25.2,2.4,1,26.1,29.0,21.4,30.8,4.7
50,0,1,207.9,205.0,209.4,206.3,1.6,2,206.5,205.0,204.2,208.9,2.4
51,0,2,16.2,16.0,17.8,14.6,1.6,2,16.6,16.0,14.2,18.9,2.4
52,0,3,35.6,34.0,37.2,34.0,1.6,2,36.5,34.0,34.1,38.8,2.4
53,0,4,19.6,22.0,21.2,18.0,1.6,2,20.6,22.0,18.2,22.9,2.4
54,0,5,19.9,23.0,21.5,18.3,1.6,2,18.9,23.0,16.5,21.2,2.4
55,1,1,15.2,16.0,16.7,13.6,1.6,2,16.8,16.0,14.4,19.1,2.4
56,1,2,32.1,29.0,33.7,30.5,1.6,2,32.1,29.0,29.8,34.5,2.4
57,1,3,57.3,62.0,58.9,55.7,1.6,2,54.9,62.0,52.5,57.2,2.4
58,1,4,40.9,43.0,42.5,39.3,1.6,2,37.2,43.0,34.9,39.6,2.4
59,1,5,31.2,24.0,32.7,29.6,1.6,2,33.3,24.0,30.9,35.6,2.4
60,2,1,4.7,8.0,6.3,3.2,1.6,2,6.5,8.0,4.1,8.8,2.4
61,2,2,10.6,17.0,12.2,9.0,1.6,2,6.0,17.0,3.6,8.4,2.4
62,2,3,58.6,61.0,60.2,57.0,1.6,2,57.9,61.0,55.5,60.2,2.4
63,2,4,38.4,38.0,40.0,36.8,1.6,2,38.7,38.0,36.4,41.1,2.4
64,2,5,17.5,20.0,19.1,16.0,1.6,2,19.4,20.0,17.0,21.7,2.4
65,3,1,17.9,15.0,19.4,16.3,1.6,2,19.7,15.0,17.4,22.1,2.4
66,3,2,11.8,16.0,13.4,10.2,1.6,2,10.3,16.0,7.9,12.6,2.4
67,3,3,99.9,101.0,101.5,98.3,1.6,2,103.3,101.0,100.9,105.6,2.4
68,3,4,70.3,71.0,71.9,68.7,1.6,2,71.2,71.0,68.8,73.5,2.4
69,3,5,31.0,31.0,32.5,29.4,1.6,2,32.5,31.0,30.1,34.9,2.4
70,4,1,12.6,12.0,14.2,11.1,1.6,2,11.1,12.0,8.8,13.5,2.4
71,4,2,19.3,15.0,20.9,17.8,1.6,2,20.2,15.0,17.8,22.5,2.4
72,4,3,44.9,44.0,46.5,43.4,1.6,2,43.8,44.0,41.5,46.2,2.4
73,4,4,51.5,48.0,53.1,49.9,1.6,2,54.9,48.0,52.5,57.2,2.4
74,4,5,28.5,29.0,30.0,26.9,1.6,2,27.6,29.0,25.2,29.9,2.4
75,0,1,207.4,205.0,208.6,206.2,1.2,3,207.9,205.0,206.3,209.4,1.6
76,0,2,16.3,16.0,17.5,15.1,1.2,3,16.2,16.0,14.6,17.8,1.6
77,0,3,34.6,34.0,35.8,33.5,1.2,3,35.6,34.0,34.0,37.2,1.6
78,0,4,20.8,22.0,22.0,19.6,1.2,3,19.6,22.0,18.0,21.2,1.6
79,0,5,20.7,23.0,21.9,19.6,1.2,3,19.9,23.0,18.3,21.5,1.6
80,1,1,16.5,16.0,17.7,15.3,1.2,3,15.2,16.0,13.6,16.7,1.6
81,1,2,28.2,29.0,29.4,27.0,1.2,3,32.1,29.0,30.5,33.7,1.6
82,1,3,58.0,62.0,59.2,56.9,1.2,3,57.3,62.0,55.7,58.9,1.6
83,1,4,44.6,43.0,45.8,43.4,1.2,3,40.9,43.0,39.3,42.5,1.6
84,1,5,29.4,24.0,30.5,28.2,1.2,3,31.2,24.0,29.6,32.7,1.6
85,2,1,2.8,8.0,4.0,1.6,1.2,3,4.7,8.0,3.2,6.3,1.6
86,2,2,13.5,17.0,14.7,12.3,1.2,3,10.6,17.0,9.0,12.2,1.6
