,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,17.5,18.0,22.3,12.8,4.7,0,,,,,
1,Strongly disagree,Instructor 2,3.1,13.0,7.8,-1.6,4.7,0,,,,,
2,Strongly disagree,Instructor 3,36.3,36.0,41.1,31.6,4.7,0,,,,,
3,Disagree,Instructor 1,36.5,37.0,41.3,31.8,4.7,0,,,,,
4,Disagree,Instructor 2,30.4,31.0,35.1,25.7,4.7,0,,,,,
5,Disagree,Instructor 3,15.0,18.0,19.7,10.3,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,19.9,19.0,24.6,15.2,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,51.3,53.0,56.0,46.6,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,86.9,89.0,91.6,82.2,4.7,0,,,,,
9,Agree,Instructor 1,44.9,44.0,49.6,40.2,4.7,0,,,,,
10,Agree,Instructor 2,100.6,105.0,105.3,95.9,4.7,0,,,,,
11,Agree,Instructor 3,91.1,91.0,95.8,86.4,4.7,0,,,,,
12,Strongly agree,Instructor 1,183.7,187.0,188.4,179.0,4.7,0,,,,,
13,Strongly agree,Instructor 2,175.8,173.0,180.5,171.1,4.7,0,,,,,
14,Strongly agree,Instructor 3,90.1,86.0,94.8,85.4,4.7,0,,,,,
15,Strongly disagree,Instructor 1,15.5,18.0,17.8,13.1,2.4,1,17.5,18.0,12.8,22.3,4.7
16,Strongly disagree,Instructor 2,8.4,13.0,10.8,6.1,2.4,1,3.1,13.0,-1.6,7.8,4.7
17,Strongly disagree,Instructor 3,34.9,36.0,37.2,32.5,2.4,1,36.3,36.0,31.6,41.1,4.7
18,Disagree,Instructor 1,34.2,37.0,36.6,31.8,2.4,1,36.5,37.0,31.8,41.3,4.7
19,Disagree,Instructor 2,29.3,31.0,31.7,27.0,2.4,1,30.4,31.0,25.7,35.1,4.7
20,Disagree,Instructor 3,16.4,18.0,18.8,14.0,2.4,1,15.0,18.0,10.3,19.7,4.7
21,Neither agree nor disagree,Instructor 1,17.9,19.0,20.3,15.6,2.4,1,19.9,19.0,15.2,24.6,4.7
22,Neither agree nor disagree,Instructor 2,52.7,53.0,55.1,50.3,2.4,1,51.3,53.0,46.6,56.0,4.7
23,Neither agree nor disagree,Instructor 3,87.9,89.0,90.3,85.5,2.4,1,86.9,89.0,82.2,91.6,4.7
24,Agree,Instructor 1,44.5,44.0,46.8,42.1,2.4,1,44.9,44.0,40.2,49.6,4.7
25,Agree,Instructor 2,104.3,105.0,106.6,101.9,2.4,1,100.6,105.0,95.9,105.3,4.7
26,Agree,Instructor 3,91.3,91.0,93.7,89.0,2.4,1,91.1,91.0,86.4,95.8,4.7
27,Strongly agree,Instructor 1,183.5,187.0,185.8,181.1,2.4,1,183.7,187.0,179.0,188.4,4.7
28,Strongly agree,Instructor 2,175.3,173.0,177.6,172.9,2.4,1,175.8,173.0,171.1,180.5,4.7
29,Strongly agree,Instructor 3,92.5,86.0,94.8,90.1,2.4,1,90.1,86.0,85.4,94.8,4.7
30,Strongly disagree,Instructor 1,16.4,18.0,18.0,14.8,1.6,2,15.5,18.0,13.1,17.8,2.4
31,Strongly disagree,Instructor 2,12.6,13.0,14.2,11.0,1.6,2,8.4,13.0,6.1,10.8,2.4
32,Strongly disagree,Instructor 3,35.3,36.0,36.9,33.8,1.6,2,34.9,36.0,32.5,37.2,2.4
33,Disagree,Instructor 1,33.1,37.0,34.7,31.6,1.6,2,34.2,37.0,31.8,36.6,2.4
34,Disagree,Instructor 2,29.6,31.0,31.1,28.0,1.6,2,29.3,31.0,27.0,31.7,2.4
35,Disagree,Instructor 3,16.7,18.0,18.3,15.1,1.6,2,16.4,18.0,14.0,18.8,2.4
36,Neither agree nor disagree,Instructor 1,15.1,19.0,16.6,13.5,1.6,2,17.9,19.0,15.6,20.3,2.4
37,Neither agree nor disagree,Instructor 2,52.0,53.0,53.6,50.4,1.6,2,52.7,53.0,50.3,55.1,2.4
38,Neither agree nor disagree,Instructor 3,86.0,89.0,87.6,84.5,1.6,2,87.9,89.0,85.5,90.3,2.4
39,Agree,Instructor 1,49.2,44.0,50.8,47.6,1.6,2,44.5,44.0,42.1,46.8,2.4
40,Agree,Instructor 2,105.5,105.0,107.1,104.0,1.6,2,104.3,105.0,101.9,106.6,2.4
41,Agree,Instructor 3,91.5,91.0,93.0,89.9,1.6,2,91.3,91.0,89.0,93.7,2.4
42,Strongly agree,Instructor 1,185.5,187.0,187.1,183.9,1.6,2,183.5,187.0,181.1,185.8,2.4
43,Strongly agree,Instructor 2,173.3,173.0,174.9,171.7,1.6,2,175.3,173.0,172.9,177.6,2.4
44,Strongly agree,Instructor 3,89.7,86.0,91.3,88.1,1.6,2,92.5,86.0,90.1,94.8,2.4
45,Strongly disagree,Instructor 1,16.3,18.0,17.4,15.1,1.2,3,16.4,18.0,14.8,18.0,1.6
46,Strongly disagree,Instructor 2,12.5,13.0,13.7,11.3,1.2,3,12.6,13.0,11.0,14.2,1.6
47,Strongly disagree,Instructor 3,36.4,36.0,37.6,35.2,1.2,3,35.3,36.0,33.8,36.9,1.6
48,Disagree,Instructor 1,34.6,37.0,35.8,33.4,1.2,3,33.1,37.0,31.6,34.7,1.6
49,Disagree,Instructor 2,29.7,31.0,30.9,28.5,1.2,3,29.6,31.0,28.0,31.1,1.6
50,Disagree,Instructor 3,17.8,18.0,19.0,16.6,1.2,3,16.7,18.0,15.1,18.3,1.6
51,Neither agree nor disagree,Instructor 1,15.5,19.0,16.7,14.4,1.2,3,15.1,19.0,13.5,16.6,1.6
52,Neither agree nor disagree,Instructor 2,52.4,53.0,53.6,51.2,1.2,3,52.0,53.0,50.4,53.6,1.6
53,Neither agree nor disagree,Instructor 3,84.3,89.0,85.5,83.1,1.2,3,86.0,89.0,84.5,87.6,1.6
54,Agree,Instructor 1,48.2,44.0,49.4,47.1,1.2,3,49.2,44.0,47.6,50.8,1.6
55,Agree,Instructor 2,105.4,105.0,106.6,104.2,1.2,3,105.5,105.0,104.0,107.1,1.6
56,Agree,Instructor 3,91.2,91.0,92.4,90.0,1.2,3,91.5,91.0,89.9,93.0,1.6
57,Strongly agree,Instructor 1,185.6,187.0,186.7,184.4,1.2,3,185.5,187.0,183.9,187.1,1.6
58,Strongly agree,Instructor 2,173.3,173.0,174.5,172.1,1.2,3,173.3,173.0,171.7,174.9,1.6
59,Strongly agree,Instructor 3,91.2,86.0,92.4,90.0,1.2,3,89.7,86.0,88.1,91.3,1.6
60,Strongly disagree,Instructor 1,16.8,18.0,17.8,15.9,0.9,4,16.3,18.0,15.1,17.4,1.2
61,Strongly disagree,Instructor 2,12.8,13.0,13.8,11.9,0.9,4,12.5,13.0,11.3,13.7,1.2
62,Strongly disagree,Instructor 3,35.6,36.0,36.6,34.7,0.9,4,36.4,36.0,35.2,37.6,1.2
63,Disagree,Instructor 1,36.1,37.0,37.0,35.1,0.9,4,34.6,37.0,33.4,35.8,1.2
64,Disagree,Instructor 2,30.5,31.0,31.4,29.5,0.9,4,29.7,31.0,28.5,30.9,1.2
65,Disagree,Instructor 3,18.7,18.0,19.7,17.8,0.9,4,17.8,18.0,16.6,19.0,1.2
66,Neither agree nor disagree,Instructor 1,16.7,19.0,17.6,15.7,0.9,4,15.5,19.0,14.4,16.7,1.2
67,Neither agree nor disagree,Instructor 2,53.1,53.0,54.1,52.2,0.9,4,52.4,53.0,51.2,53.6,1.2
68,Neither agree nor disagree,Instructor 3,85.3,89.0,86.2,84.4,0.9,4,84.3,89.0,83.1,85.5,1.2
69,Agree,Instructor 1,46.8,44.0,47.8,45.9,0.9,4,48.2,44.0,47.1,49.4,1.2
70,Agree,Instructor 2,105.5,105.0,106.4,104.5,0.9,4,105.4,105.0,104.2,106.6,1.2
71,Agree,Instructor 3,90.9,91.0,91.9,90.0,0.9,4,91.2,91.0,90.0,92.4,1.2
72,Strongly agree,Instructor 1,185.4,187.0,186.4,184.5,0.9,4,185.6,187.0,184.4,186.7,1.2
73,Strongly agree,Instructor 2,174.4,173.0,175.4,173.5,0.9,4,173.3,173.0,172.1,174.5,1.2
74,Strongly agree,Instructor 3,90.1,86.0,91.0,89.1,0.9,4,91.2,86.0,90.0,92.4,1.2
75,Strongly disagree,Instructor 1,17.1,18.0,17.9,16.3,0.8,5,16.8,18.0,15.9,17.8,0.9
76,Strongly disagree,Instructor 2,13.2,13.0,13.9,12.4,0.8,5,12.8,13.0,11.9,13.8,0.9
77,Strongly disagree,Instructor 3,35.3,36.0,36.1,34.5,0.8,5,35.6,36.0,34.7,36.6,0.9
78,Disagree,Instructor 1,35.7,37.0,36.5,34.9,0.8,5,36.1,37.0,35.1,37.0,0.9
79,Disagree,Instructor 2,29.7,31.0,30.5,28.9,0.8,5,30.5,31.0,29.5,31.4,0.9
80,Disagree,Instructor 3,16.4,18.0,17.2,15.7,0.8,5,18.7,18.0,17.8,19.7,0.9
81,Neither agree nor disagree,Instructor 1,17.2,19.0,18.0,16.4,0.8,5,16.7,19.0,15.7,17.6,0.9
82,Neither agree nor disagree,Instructor 2,52.8,53.0,53.6,52.0,0.8,5,53.1,53.0,52.2,54.1,0.9
83,Neither agree nor disagree,Instructor 3,85.4,89.0,86.2,84.6,0.8,5,85.3,89.0,84.4,86.2,0.9
84,Agree,Instructor 1,45.4,44.0,46.2,44.7,0.8,5,46.8,44.0,45.9,47.8,0.9
85,Agree,Instructor 2,104.9,105.0,105.7,104.1,0.8,5,105.5,105.0,104.5,106.4,0.9
86,Agree,Instructor 3,90.6,91.0,91.4,89.8,0.8,5,90.9,91.0,90.0,91.9,0.9
87,Strongly agree,Instructor 1,185.7,187.0,186.4,184.9,0.8,5,185.4,187.0,184.5,186.4,0.9
88,Strongly agree,Instructor 2,174.2,173.0,175.0,173.5,0.8,5,174.4,173.0,173.5,175.4,0.9
89,Strongly agree,Instructor 3,90.0,86.0,90.8,89.2,0.8,5,90.1,86.0,89.1,91.0,0.9
90,Strongly disagree,Instructor 1,17.5,18.0,18.2,16.9,0.7,6,17.1,18.0,16.3,17.9,0.8
91,Strongly disagree,Instructor 2,13.3,13.0,14.0,12.6,0.7,6,13.2,13.0,12.4,13.9,0.8
92,Strongly disagree,Instructor 3,35.8,36.0,36.5,35.1,0.7,6,35.3,36.0,34.5,36.1,0.8
93,Disagree,Instructor 1,34.5,37.0,35.2,33.9,0.7,6,35.7,37.0,34.9,36.5,0.8
94,Disagree,Instructor 2,29.5,31.0,30.2,28.9,0.7,6,29.7,31.0,28.9,30.5,0.8
95,Disagree,Instructor 3,15.8,18.0,16.5,15.2,0.7,6,16.4,18.0,15.7,17.2,0.8
96,Neither agree nor disagree,Instructor 1,16.2,19.0,16.8,15.5,0.7,6,17.2,19.0,16.4,18.0,0.8
97,Neither agree nor disagree,Instructor 2,52.7,53.0,53.4,52.0,0.7,6,52.8,53.0,52.0,53.6,0.8
98,Neither agree nor disagree,Instructor 3,86.0,89.0,86.7,85.3,0.7,6,85.4,89.0,84.6,86.2,0.8
99,Agree,Instructor 1,44.2,44.0,44.8,43.5,0.7,6,45.4,44.0,44.7,46.2,0.8
100,Agree,Instructor 2,103.8,105.0,104.4,103.1,0.7,6,104.9,105.0,104.1,105.7,0.8
101,Agree,Instructor 3,90.6,91.0,91.2,89.9,0.7,6,90.6,91.0,89.8,91.4,0.8
102,Strongly agree,Instructor 1,186.0,187.0,186.7,185.4,0.7,6,185.7,187.0,184.9,186.4,0.8
103,Strongly agree,Instructor 2,173.6,173.0,174.3,173.0,0.7,6,174.2,173.0,173.5,175.0,0.8
104,Strongly agree,Instructor 3,90.1,86.0,90.8,89.4,0.7,6,90.0,86.0,89.2,90.8,0.8
