,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,59.5,60.0,64.3,54.8,4.7,0,,,,,
1,Strongly disagree,2,3.1,13.0,7.8,-1.6,4.7,0,,,,,
2,Strongly disagree,3,16.3,16.0,21.1,11.6,4.7,0,,,,,
3,Strongly disagree,4,17.5,18.0,22.3,12.8,4.7,0,,,,,
4,Strongly disagree,5,33.4,34.0,38.1,28.7,4.7,0,,,,,
5,Disagree,1,32.0,35.0,36.7,27.3,4.7,0,,,,,
6,Disagree,2,17.9,17.0,22.6,13.2,4.7,0,,,,,
7,Disagree,3,26.3,28.0,31.0,21.6,4.7,0,,,,,
8,Disagree,4,22.9,25.0,27.6,18.2,4.7,0,,,,,
9,Disagree,5,18.9,18.0,23.6,14.2,4.7,0,,,,,
10,Neither agree nor disagree,1,71.6,76.0,76.3,66.9,4.7,0,,,,,
11,Neither agree nor disagree,2,23.1,23.0,27.8,18.4,4.7,0,,,,,
12,Neither agree nor disagree,3,67.7,71.0,72.4,63.0,4.7,0,,,,,
13,Neither agree nor disagree,4,72.8,70.0,77.5,68.1,4.7,0,,,,,
14,Neither agree nor disagree,5,40.1,36.0,44.8,35.4,4.7,0,,,,,
15,Agree,1,48.9,45.0,53.7,44.2,4.7,0,,,,,
16,Agree,2,19.9,26.0,24.6,15.2,4.7,0,,,,,
17,Agree,3,129.0,129.0,133.7,124.3,4.7,0,,,,,
18,Agree,4,65.2,72.0,69.9,60.5,4.7,0,,,,,
19,Agree,5,26.5,27.0,31.2,21.8,4.7,0,,,,,
20,Strongly agree,1,33.4,38.0,38.2,28.7,4.7,0,,,,,
21,Strongly agree,2,14.7,14.0,19.4,10.0,4.7,0,,,,,
22,Strongly agree,3,55.4,58.0,60.1,50.6,4.7,0,,,,,
23,Strongly agree,4,25.9,31.0,30.6,21.1,4.7,0,,,,,
24,Strongly agree,5,17.3,20.0,22.0,12.6,4.7,0,,,,,
25,Strongly disagree,1,61.2,60.0,63.6,58.9,2.4,1,59.5,60.0,54.8,64.3,4.7
26,Strongly disagree,2,8.4,13.0,10.7,6.0,2.4,1,3.1,13.0,-1.6,7.8,4.7
27,Strongly disagree,3,14.3,16.0,16.7,11.9,2.4,1,16.3,16.0,11.6,21.1,4.7
28,Strongly disagree,4,18.6,18.0,21.0,16.3,2.4,1,17.5,18.0,12.8,22.3,4.7
29,Strongly disagree,5,38.1,34.0,40.5,35.8,2.4,1,33.4,34.0,28.7,38.1,4.7
30,Disagree,1,36.0,35.0,38.4,33.7,2.4,1,32.0,35.0,27.3,36.7,4.7
31,Disagree,2,16.8,17.0,19.2,14.5,2.4,1,17.9,17.0,13.2,22.6,4.7
32,Disagree,3,27.4,28.0,29.7,25.0,2.4,1,26.3,28.0,21.6,31.0,4.7
33,Disagree,4,23.7,25.0,26.0,21.3,2.4,1,22.9,25.0,18.2,27.6,4.7
34,Disagree,5,18.2,18.0,20.6,15.9,2.4,1,18.9,18.0,14.2,23.6,4.7
35,Neither agree nor disagree,1,73.9,76.0,76.3,71.6,2.4,1,71.6,76.0,66.9,76.3,4.7
36,Neither agree nor disagree,2,27.0,23.0,29.4,24.7,2.4,1,23.1,23.0,18.4,27.8,4.7
37,Neither agree nor disagree,3,69.5,71.0,71.8,67.1,2.4,1,67.7,71.0,63.0,72.4,4.7
38,Neither agree nor disagree,4,68.4,70.0,70.8,66.0,2.4,1,72.8,70.0,68.1,77.5,4.7
39,Neither agree nor disagree,5,37.5,36.0,39.9,35.2,2.4,1,40.1,36.0,35.4,44.8,4.7
40,Agree,1,46.6,45.0,49.0,44.3,2.4,1,48.9,45.0,44.2,53.7,4.7
41,Agree,2,18.1,26.0,20.4,15.7,2.4,1,19.9,26.0,15.2,24.6,4.7
42,Agree,3,127.8,129.0,130.2,125.5,2.4,1,129.0,129.0,124.3,133.7,4.7
43,Agree,4,65.3,72.0,67.6,62.9,2.4,1,65.2,72.0,60.5,69.9,4.7
44,Agree,5,34.1,27.0,36.4,31.7,2.4,1,26.5,27.0,21.8,31.2,4.7
45,Strongly agree,1,37.2,38.0,39.6,34.9,2.4,1,33.4,38.0,28.7,38.2,4.7
46,Strongly agree,2,14.7,14.0,17.1,12.4,2.4,1,14.7,14.0,10.0,19.4,4.7
47,Strongly agree,3,57.9,58.0,60.3,55.6,2.4,1,55.4,58.0,50.6,60.1,4.7
48,Strongly agree,4,26.6,31.0,29.0,24.3,2.4,1,25.9,31.0,21.1,30.6,4.7
49,Strongly agree,5,17.7,20.0,20.1,15.4,2.4,1,17.3,20.0,12.6,22.0,4.7
50,Strongly disagree,1,60.1,60.0,61.7,58.5,1.6,2,61.2,60.0,58.9,63.6,2.4
51,Strongly disagree,2,9.6,13.0,11.2,8.0,1.6,2,8.4,13.0,6.0,10.7,2.4
52,Strongly disagree,3,16.1,16.0,17.6,14.5,1.6,2,14.3,16.0,11.9,16.7,2.4
53,Strongly disagree,4,19.1,18.0,20.7,17.6,1.6,2,18.6,18.0,16.3,21.0,2.4
54,Strongly disagree,5,36.4,34.0,38.0,34.9,1.6,2,38.1,34.0,35.8,40.5,2.4
55,Disagree,1,36.7,35.0,38.3,35.1,1.6,2,36.0,35.0,33.7,38.4,2.4
56,Disagree,2,16.2,17.0,17.8,14.6,1.6,2,16.8,17.0,14.5,19.2,2.4
57,Disagree,3,27.8,28.0,29.4,26.2,1.6,2,27.4,28.0,25.0,29.7,2.4
