marital,race,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,plus_error_prev,minus_error_prev,error_prev
Married,White,496.3,492.0,510.4,482.1,14.1,0,496.3,492.0,510.4,482.1,14.1
Married,Black,28.6,29.0,42.7,14.4,14.1,0,28.6,29.0,42.7,14.4,14.1
Married,American Indian,12.1,7.0,26.2,-2.1,14.1,0,12.1,7.0,26.2,-2.1,14.1
Married,Chinese,3.4,9.0,17.5,-10.8,14.1,0,3.4,9.0,17.5,-10.8,14.1
Absent,White,-4.7,1.0,9.4,-18.9,14.1,0,-4.7,1.0,9.4,-18.9,14.1
Absent,Black,-0.1,1.0,14.0,-14.2,14.1,0,-0.1,1.0,14.0,-14.2,14.1
Absent,American Indian,-34.0,0.0,-19.8,-48.1,14.1,0,-34.0,0.0,-19.8,-48.1,14.1
Absent,Chinese,-7.3,0.0,6.9,-21.4,14.1,0,-7.3,0.0,6.9,-21.4,14.1
Separated,White,15.8,14.0,29.9,1.6,14.1,0,15.8,14.0,29.9,1.6,14.1
Separated,Black,5.5,5.0,19.6,-8.7,14.1,0,5.5,5.0,19.6,-8.7,14.1
Separated,American Indian,5.8,2.0,19.9,-8.3,14.1,0,5.8,2.0,19.9,-8.3,14.1
Separated,Chinese,-11.4,2.0,2.8,-25.5,14.1,0,-11.4,2.0,2.8,-25.5,14.1
Widowed,White,83.0,82.0,97.2,68.9,14.1,0,83.0,82.0,97.2,68.9,14.1
Widowed,Black,16.5,11.0,30.7,2.4,14.1,0,16.5,11.0,30.7,2.4,14.1
Widowed,American Indian,-3.7,0.0,10.5,-17.8,14.1,0,-3.7,0.0,10.5,-17.8,14.1
Widowed,Chinese,16.4,0.0,30.5,2.2,14.1,0,16.4,0.0,30.5,2.2,14.1
Divorced,White,124.6,140.0,138.7,110.5,14.1,0,124.6,140.0,138.7,110.5,14.1
Divorced,Black,1.0,11.0,15.2,-13.1,14.1,0,1.0,11.0,15.2,-13.1,14.1
Divorced,American Indian,26.4,2.0,40.6,12.3,14.1,0,26.4,2.0,40.6,12.3,14.1
Divorced,Chinese,11.9,2.0,26.0,-2.3,14.1,0,11.9,2.0,26.0,-2.3,14.1
Divorced/Widowed,White,6.4,17.0,20.6,-7.7,14.1,0,6.4,17.0,20.6,-7.7,14.1
Divorced/Widowed,Black,-1.7,7.0,12.5,-15.8,14.1,0,-1.7,7.0,12.5,-15.8,14.1
Divorced/Widowed,American Indian,1.2,1.0,15.4,-12.9,14.1,0,1.2,1.0,15.4,-12.9,14.1
Divorced/Widowed,Chinese,22.7,2.0,36.8,8.6,14.1,0,22.7,2.0,36.8,8.6,14.1
Never Married,White,117.9,115.0,132.1,103.8,14.1,0,117.9,115.0,132.1,103.8,14.1
Never Married,Black,45.8,34.0,60.0,31.7,14.1,0,45.8,34.0,60.0,31.7,14.1
Never Married,American Indian,-11.2,5.0,3.0,-25.3,14.1,0,-11.2,5.0,3.0,-25.3,14.1
Never Married,Chinese,9.7,9.0,23.9,-4.4,14.1,0,9.7,9.0,23.9,-4.4,14.1
Married,White,494.3,492.0,501.4,487.2,7.1,1,496.3,492.0,510.4,482.1,14.1
Married,Black,33.0,29.0,40.1,25.9,7.1,1,28.6,29.0,42.7,14.4,14.1
Married,American Indian,7.7,7.0,14.8,0.7,7.1,1,12.1,7.0,26.2,-2.1,14.1
Married,Chinese,-4.9,9.0,2.1,-12.0,7.1,1,3.4,9.0,17.5,-10.8,14.1
Absent,White,10.1,1.0,17.2,3.1,7.1,1,-4.7,1.0,9.4,-18.9,14.1
Absent,Black,6.8,1.0,13.8,-0.3,7.1,1,-0.1,1.0,14.0,-14.2,14.1
Absent,American Indian,-15.7,0.0,-8.6,-22.7,7.1,1,-34.0,0.0,-19.8,-48.1,14.1
Absent,Chinese,1.3,0.0,8.3,-5.8,7.1,1,-7.3,0.0,6.9,-21.4,14.1
Separated,White,15.4,14.0,22.5,8.4,7.1,1,15.8,14.0,29.9,1.6,14.1
Separated,Black,6.3,5.0,13.4,-0.8,7.1,1,5.5,5.0,19.6,-8.7,14.1
Separated,American Indian,2.9,2.0,10.0,-4.1,7.1,1,5.8,2.0,19.9,-8.3,14.1
Separated,Chinese,-6.3,2.0,0.8,-13.4,7.1,1,-11.4,2.0,2.8,-25.5,14.1
Widowed,White,84.9,82.0,92.0,77.9,7.1,1,83.0,82.0,97.2,68.9,14.1
Widowed,Black,16.0,11.0,23.1,8.9,7.1,1,16.5,11.0,30.7,2.4,14.1
Widowed,American Indian,-6.9,0.0,0.1,-14.0,7.1,1,-3.7,0.0,10.5,-17.8,14.1
Widowed,Chinese,2.7,0.0,9.8,-4.3,7.1,1,16.4,0.0,30.5,2.2,14.1
